+--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+
| cust   | prod   |   month |   year |   day |   sum_1_quant |   max_1_quant |   sum_2_quant |   max_2_quant |
| Boo    | Jelly  |       9 |   2020 |    13 |           322 |           322 |           322 |           322 |
| Wally  | Fish   |       2 |   2018 |     1 |           766 |           766 |           766 |           766 |
| Claire | Dates  |       4 |   2018 |     1 |           465 |           465 |           465 |           465 |
| Chae   | Ham    |       8 |   2020 |    18 |           254 |           254 |           254 |           254 |
| Helen  | Dates  |      10 |   2020 |    17 |           493 |           493 |           493 |           493 |
| Sam    | Grapes |      11 |   2018 |    18 |           160 |           160 |           160 |           160 |
| Sam    | Eggs   |       8 |   2016 |    19 |           497 |           497 |           497 |           497 |
| Mia    | Dates  |       8 |   2020 |     9 |            74 |            74 |            74 |            74 |
| Sam    | Grapes |       4 |   2016 |    15 |           918 |           918 |           918 |           918 |
| Dan    | Ham    |       2 |   2019 |     2 |           122 |           122 |           122 |           122 |
| Claire | Cherry |       4 |   2016 |    10 |           266 |           266 |           266 |           266 |
| Dan    | Dates  |       6 |   2017 |    19 |           282 |           282 |           282 |           282 |
| Claire | Ice    |       8 |   2019 |     8 |           743 |           743 |           743 |           743 |
| Claire | Eggs   |       2 |   2016 |    11 |           120 |           120 |           120 |           120 |
| Dan    | Grapes |       9 |   2020 |    18 |           147 |           147 |           147 |           147 |
| Chae   | Fish   |       8 |   2017 |     5 |            44 |            44 |            44 |            44 |
| Helen  | Grapes |       3 |   2018 |    10 |           650 |           650 |           650 |           650 |
| Mia    | Apple  |      10 |   2018 |    31 |            44 |            44 |            44 |            44 |
| Chae   | Grapes |       4 |   2018 |    27 |           988 |           988 |           988 |           988 |
| Chae   | Jelly  |       5 |   2016 |     6 |           708 |           708 |           708 |           708 |
| Claire | Jelly  |       4 |   2016 |    17 |           318 |           318 |           318 |           318 |
| Claire | Ice    |      12 |   2018 |     5 |           553 |           553 |           553 |           553 |
| Boo    | Grapes |       9 |   2018 |     9 |           187 |           187 |           187 |           187 |
| Claire | Apple  |       7 |   2019 |    19 |           435 |           435 |           435 |           435 |
| Mia    | Eggs   |       4 |   2016 |    15 |            24 |            24 |            24 |            24 |
| Mia    | Ice    |       8 |   2018 |    31 |            72 |            72 |            72 |            72 |
| Helen  | Dates  |       8 |   2017 |     8 |           648 |           648 |           648 |           648 |
| Mia    | Fish   |       9 |   2020 |    20 |           501 |           501 |           501 |           501 |
| Chae   | Apple  |       9 |   2019 |    26 |           207 |           207 |           207 |           207 |
| Helen  | Grapes |       7 |   2016 |    22 |           844 |           844 |           844 |           844 |
| Boo    | Grapes |      12 |   2016 |    31 |           861 |           861 |           861 |           861 |
| Sam    | Jelly  |      10 |   2020 |    20 |           386 |           386 |           386 |           386 |
| Claire | Jelly  |       1 |   2017 |     9 |           865 |           865 |           865 |           865 |
| Claire | Jelly  |       7 |   2020 |     9 |           623 |           623 |           623 |           623 |
| Sam    | Apple  |      11 |   2019 |    30 |           835 |           835 |           835 |           835 |
| Helen  | Cherry |       8 |   2018 |    13 |           196 |           196 |           196 |           196 |
| Dan    | Ham    |       8 |   2020 |    25 |           901 |           901 |           901 |           901 |
| Emily  | Eggs   |       3 |   2017 |    30 |           255 |           255 |           255 |           255 |
| Wally  | Cherry |      12 |   2018 |    21 |           429 |           429 |           429 |           429 |
| Emily  | Ice    |       6 |   2017 |    18 |           924 |           924 |           924 |           924 |
| Sam    | Jelly  |       1 |   2020 |    18 |           832 |           832 |           832 |           832 |
| Boo    | Apple  |      12 |   2018 |    10 |           639 |           639 |           639 |           639 |
| Boo    | Apple  |       8 |   2019 |     9 |           589 |           589 |           589 |           589 |
| Helen  | Dates  |       8 |   2016 |    11 |           250 |           250 |           250 |           250 |
| Helen  | Ice    |       4 |   2020 |    17 |           357 |           357 |           357 |           357 |
| Dan    | Grapes |       5 |   2019 |    23 |           475 |           475 |           475 |           475 |
| Dan    | Fish   |       4 |   2020 |    23 |           553 |           553 |           553 |           553 |
| Wally  | Eggs   |       3 |   2016 |     9 |           746 |           746 |           746 |           746 |
| Mia    | Butter |       2 |   2020 |    16 |           334 |           334 |           334 |           334 |
| Wally  | Grapes |       1 |   2019 |    21 |           351 |           351 |           351 |           351 |
| Boo    | Butter |       1 |   2017 |     2 |           117 |           117 |           117 |           117 |
| Claire | Ham    |       3 |   2018 |    31 |           966 |           966 |           966 |           966 |
| Dan    | Jelly  |      12 |   2017 |    22 |           261 |           261 |           261 |           261 |
| Wally  | Butter |       2 |   2017 |     9 |            98 |            98 |            98 |            98 |
| Emily  | Eggs   |       6 |   2019 |     1 |           478 |           478 |           478 |           478 |
| Claire | Ham    |      11 |   2019 |    23 |           466 |           466 |           466 |           466 |
| Emily  | Dates  |       2 |   2020 |    15 |           439 |           439 |           439 |           439 |
| Wally  | Jelly  |       6 |   2018 |     7 |           165 |           165 |           165 |           165 |
| Boo    | Apple  |       3 |   2020 |    21 |           217 |           217 |           217 |           217 |
| Helen  | Ham    |       5 |   2017 |     1 |           716 |           716 |           716 |           716 |
| Helen  | Ham    |       7 |   2020 |    20 |           532 |           532 |           532 |           532 |
| Wally  | Fish   |       4 |   2020 |     5 |           404 |           404 |           404 |           404 |
| Claire | Eggs   |       5 |   2017 |    11 |           879 |           879 |           879 |           879 |
| Emily  | Dates  |       9 |   2019 |    23 |           467 |           467 |           467 |           467 |
| Mia    | Jelly  |       9 |   2018 |    10 |           969 |           969 |           969 |           969 |
| Chae   | Butter |       2 |   2018 |    22 |           789 |           789 |           789 |           789 |
| Chae   | Jelly  |      12 |   2020 |    17 |           747 |           747 |           747 |           747 |
| Sam    | Ice    |       2 |   2018 |    10 |           913 |           913 |           913 |           913 |
| Wally  | Eggs   |       6 |   2020 |     9 |           286 |           286 |           286 |           286 |
| Claire | Ice    |       7 |   2019 |    29 |           997 |           997 |           997 |           997 |
| Chae   | Butter |      12 |   2019 |     5 |           127 |           127 |           127 |           127 |
| Mia    | Jelly  |       3 |   2017 |    16 |           601 |           601 |           601 |           601 |
| Dan    | Eggs   |       8 |   2020 |    30 |           619 |           619 |           619 |           619 |
| Dan    | Dates  |      11 |   2019 |    14 |           987 |           987 |           987 |           987 |
| Emily  | Ham    |      11 |   2019 |    11 |           511 |           511 |           511 |           511 |
| Helen  | Eggs   |       9 |   2019 |     4 |           999 |           999 |           999 |           999 |
| Claire | Cherry |       5 |   2020 |    24 |           214 |           214 |           214 |           214 |
| Dan    | Butter |       8 |   2017 |    19 |           958 |           958 |           958 |           958 |
| Mia    | Fish   |       9 |   2018 |    10 |           123 |           123 |           123 |           123 |
| Helen  | Grapes |       4 |   2019 |    11 |           418 |           418 |           418 |           418 |
| Helen  | Jelly  |       3 |   2016 |    10 |           735 |           735 |           735 |           735 |
| Wally  | Eggs   |       1 |   2017 |     3 |           978 |           978 |           978 |           978 |
| Boo    | Jelly  |      11 |   2018 |     8 |           788 |           788 |           788 |           788 |
| Boo    | Jelly  |      10 |   2020 |    18 |           784 |           784 |           784 |           784 |
| Emily  | Apple  |       2 |   2019 |    18 |           866 |           866 |           866 |           866 |
| Emily  | Ham    |       4 |   2019 |    20 |           816 |           816 |           816 |           816 |
| Helen  | Apple  |       6 |   2016 |    16 |           152 |           152 |           152 |           152 |
| Chae   | Grapes |      10 |   2016 |    26 |           264 |           264 |           264 |           264 |
| Dan    | Fish   |       3 |   2019 |     2 |           817 |           817 |           817 |           817 |
| Chae   | Dates  |       7 |   2016 |    15 |           492 |           492 |           492 |           492 |
| Emily  | Fish   |       6 |   2016 |    23 |            58 |            58 |            58 |            58 |
| Helen  | Fish   |       5 |   2017 |    13 |           203 |           203 |           203 |           203 |
| Dan    | Butter |       4 |   2020 |     4 |           727 |           727 |           727 |           727 |
| Boo    | Ham    |       1 |   2016 |     1 |           898 |           898 |           898 |           898 |
| Chae   | Cherry |       3 |   2018 |    20 |           348 |           348 |           348 |           348 |
| Boo    | Cherry |       7 |   2018 |    13 |           162 |           162 |           162 |           162 |
| Chae   | Apple  |       3 |   2018 |    24 |          1570 |           921 |          1570 |           921 |
| Sam    | Ham    |       7 |   2017 |    13 |           618 |           618 |           618 |           618 |
| Boo    | Ice    |       1 |   2020 |    30 |           642 |           642 |           642 |           642 |
| Helen  | Fish   |      10 |   2016 |    31 |           783 |           783 |           783 |           783 |
| Dan    | Butter |       9 |   2018 |    19 |           929 |           929 |           929 |           929 |
| Sam    | Ham    |       8 |   2017 |    24 |           163 |           163 |           163 |           163 |
| Mia    | Ice    |      12 |   2018 |    24 |          1635 |           838 |          1635 |           838 |
| Dan    | Apple  |      12 |   2019 |    13 |           676 |           676 |           676 |           676 |
| Sam    | Jelly  |       5 |   2016 |     2 |           314 |           314 |           314 |           314 |
| Boo    | Eggs   |       3 |   2020 |     7 |           198 |           198 |           198 |           198 |
| Claire | Grapes |       3 |   2016 |     2 |           423 |           423 |           423 |           423 |
| Claire | Fish   |       1 |   2019 |    19 |           951 |           951 |           951 |           951 |
| Boo    | Grapes |       4 |   2019 |    30 |           998 |           998 |           998 |           998 |
| Sam    | Dates  |       8 |   2020 |     2 |           310 |           310 |           310 |           310 |
| Dan    | Dates  |       8 |   2016 |    20 |           723 |           723 |           723 |           723 |
| Helen  | Grapes |       2 |   2019 |     3 |           631 |           631 |           631 |           631 |
| Boo    | Fish   |       1 |   2019 |    24 |           832 |           832 |           832 |           832 |
| Wally  | Ham    |       2 |   2017 |     2 |           103 |           103 |           103 |           103 |
| Helen  | Jelly  |       2 |   2020 |    23 |           456 |           456 |           456 |           456 |
| Chae   | Eggs   |       7 |   2020 |    20 |            58 |            58 |            58 |            58 |
| Chae   | Butter |      10 |   2019 |    21 |           422 |           422 |           422 |           422 |
| Wally  | Grapes |       2 |   2016 |    18 |            96 |            96 |            96 |            96 |
| Emily  | Fish   |      10 |   2017 |     8 |           973 |           973 |           973 |           973 |
| Mia    | Jelly  |       4 |   2020 |    10 |           847 |           847 |           847 |           847 |
| Chae   | Dates  |      10 |   2017 |    20 |           829 |           829 |           829 |           829 |
| Dan    | Dates  |       3 |   2018 |    15 |            37 |            37 |            37 |            37 |
| Boo    | Dates  |      12 |   2019 |     7 |           794 |           794 |           794 |           794 |
| Mia    | Butter |       4 |   2016 |    22 |           618 |           618 |           618 |           618 |
| Dan    | Apple  |       5 |   2020 |    31 |           303 |           303 |           303 |           303 |
| Boo    | Eggs   |       1 |   2016 |     3 |           278 |           278 |           278 |           278 |
| Wally  | Ham    |       5 |   2016 |    13 |           660 |           660 |           660 |           660 |
| Helen  | Apple  |       8 |   2018 |    22 |           975 |           975 |           975 |           975 |
| Helen  | Cherry |       6 |   2016 |     8 |           201 |           201 |           201 |           201 |
| Chae   | Fish   |       4 |   2020 |     2 |           448 |           448 |           448 |           448 |
| Sam    | Dates  |       3 |   2018 |     3 |           727 |           727 |           727 |           727 |
| Sam    | Ice    |       1 |   2019 |    27 |           700 |           700 |           700 |           700 |
| Emily  | Butter |       6 |   2016 |     8 |           529 |           529 |           529 |           529 |
| Mia    | Dates  |       3 |   2019 |    21 |           278 |           278 |           278 |           278 |
| Dan    | Dates  |       7 |   2016 |    17 |           173 |           173 |           173 |           173 |
| Mia    | Grapes |       6 |   2016 |    29 |            53 |            53 |            53 |            53 |
| Sam    | Apple  |       9 |   2020 |    14 |           541 |           540 |           541 |           540 |
| Claire | Butter |       6 |   2020 |    21 |           343 |           343 |           343 |           343 |
| Boo    | Ice    |       6 |   2019 |     2 |           211 |           211 |           211 |           211 |
| Emily  | Grapes |       3 |   2016 |     1 |           842 |           842 |           842 |           842 |
| Dan    | Eggs   |       3 |   2016 |    30 |            71 |            71 |            71 |            71 |
| Mia    | Apple  |       6 |   2018 |    27 |           476 |           476 |           476 |           476 |
| Dan    | Apple  |       3 |   2016 |    26 |           313 |           313 |           313 |           313 |
| Emily  | Grapes |       3 |   2018 |     7 |           472 |           472 |           472 |           472 |
| Boo    | Ice    |       2 |   2018 |     5 |           860 |           860 |           860 |           860 |
| Helen  | Butter |      10 |   2017 |     2 |           385 |           385 |           385 |           385 |
| Claire | Ham    |      12 |   2020 |    15 |           709 |           709 |           709 |           709 |
| Emily  | Cherry |       8 |   2018 |    23 |           730 |           730 |           730 |           730 |
| Boo    | Dates  |       2 |   2020 |    25 |           754 |           754 |           754 |           754 |
| Mia    | Apple  |       8 |   2018 |    20 |           745 |           745 |           745 |           745 |
| Mia    | Apple  |      12 |   2016 |    11 |           463 |           463 |           463 |           463 |
| Helen  | Butter |       8 |   2016 |     6 |           139 |           139 |           139 |           139 |
| Wally  | Butter |      12 |   2016 |    10 |           136 |           136 |           136 |           136 |
| Sam    | Butter |       4 |   2020 |    14 |           434 |           434 |           434 |           434 |
| Chae   | Eggs   |      12 |   2017 |     4 |           421 |           421 |           421 |           421 |
| Wally  | Grapes |       3 |   2019 |    16 |           157 |           157 |           157 |           157 |
| Chae   | Dates  |       5 |   2018 |    11 |           694 |           694 |           694 |           694 |
| Boo    | Grapes |      12 |   2019 |    15 |           323 |           323 |           323 |           323 |
| Helen  | Ice    |       1 |   2016 |     9 |           504 |           504 |           504 |           504 |
| Boo    | Jelly  |       1 |   2019 |     9 |           249 |           249 |           249 |           249 |
| Mia    | Grapes |       7 |   2016 |    16 |           223 |           223 |           223 |           223 |
| Claire | Fish   |       3 |   2016 |    21 |           964 |           964 |           964 |           964 |
| Boo    | Ham    |       5 |   2017 |    20 |           370 |           370 |           370 |           370 |
| Claire | Grapes |      10 |   2020 |     1 |           694 |           694 |           694 |           694 |
| Mia    | Grapes |      11 |   2017 |    26 |            65 |            65 |            65 |            65 |
| Helen  | Butter |      10 |   2018 |    29 |           871 |           871 |           871 |           871 |
| Mia    | Apple  |       4 |   2016 |    29 |           609 |           609 |           609 |           609 |
| Sam    | Grapes |      12 |   2018 |    15 |           615 |           615 |           615 |           615 |
| Claire | Fish   |       5 |   2016 |     3 |           712 |           712 |           712 |           712 |
| Chae   | Cherry |      10 |   2018 |     9 |           584 |           584 |           584 |           584 |
| Helen  | Ice    |       7 |   2019 |    22 |           823 |           823 |           823 |           823 |
| Claire | Ice    |      11 |   2016 |    20 |            19 |            19 |            19 |            19 |
| Boo    | Jelly  |       5 |   2016 |    10 |           484 |           484 |           484 |           484 |
| Claire | Jelly  |      10 |   2016 |    18 |           677 |           677 |           677 |           677 |
| Dan    | Grapes |       8 |   2017 |    19 |           650 |           650 |           650 |           650 |
| Wally  | Jelly  |       8 |   2016 |    24 |           255 |           255 |           255 |           255 |
| Boo    | Butter |      10 |   2020 |    31 |            96 |            96 |            96 |            96 |
| Mia    | Butter |       8 |   2016 |    26 |           139 |           139 |           139 |           139 |
| Boo    | Apple  |      10 |   2020 |     7 |           185 |           185 |           185 |           185 |
| Mia    | Cherry |       5 |   2020 |    26 |           258 |           258 |           258 |           258 |
| Sam    | Dates  |      11 |   2017 |    17 |           782 |           782 |           782 |           782 |
| Claire | Jelly  |       9 |   2020 |    28 |           287 |           287 |           287 |           287 |
| Sam    | Ice    |       6 |   2019 |     7 |           571 |           571 |           571 |           571 |
| Wally  | Dates  |       3 |   2020 |     3 |           605 |           605 |           605 |           605 |
| Dan    | Apple  |       4 |   2020 |     6 |           656 |           656 |           656 |           656 |
| Mia    | Jelly  |       5 |   2016 |    17 |             3 |             3 |             3 |             3 |
| Wally  | Eggs   |       6 |   2019 |    30 |           182 |           182 |           182 |           182 |
| Mia    | Ice    |       9 |   2018 |     5 |           508 |           508 |           508 |           508 |
| Mia    | Dates  |       9 |   2018 |    26 |           609 |           609 |           609 |           609 |
| Boo    | Ham    |      11 |   2017 |     4 |           928 |           928 |           928 |           928 |
| Boo    | Cherry |      12 |   2017 |    24 |           626 |           626 |           626 |           626 |
| Boo    | Ham    |       3 |   2018 |     9 |           700 |           700 |           700 |           700 |
| Wally  | Eggs   |      11 |   2020 |    12 |           714 |           714 |           714 |           714 |
| Mia    | Grapes |      12 |   2018 |    24 |           446 |           446 |           446 |           446 |
| Chae   | Eggs   |       1 |   2020 |    31 |           779 |           779 |           779 |           779 |
| Boo    | Apple  |       3 |   2020 |     6 |           849 |           849 |           849 |           849 |
| Mia    | Butter |      11 |   2019 |    12 |           427 |           427 |           427 |           427 |
| Sam    | Fish   |       4 |   2018 |     7 |           113 |           113 |           113 |           113 |
| Wally  | Apple  |      10 |   2018 |    19 |           871 |           871 |           871 |           871 |
| Wally  | Butter |       6 |   2019 |    12 |           509 |           509 |           509 |           509 |
| Claire | Apple  |       9 |   2016 |     4 |           472 |           472 |           472 |           472 |
| Claire | Ice    |      12 |   2018 |    26 |           482 |           482 |           482 |           482 |
| Sam    | Dates  |       7 |   2016 |    22 |           562 |           562 |           562 |           562 |
| Dan    | Ham    |       5 |   2018 |    23 |           751 |           751 |           751 |           751 |
| Sam    | Cherry |       4 |   2020 |    20 |           592 |           592 |           592 |           592 |
| Mia    | Eggs   |       6 |   2018 |    29 |           149 |           149 |           149 |           149 |
| Emily  | Jelly  |       8 |   2019 |     9 |           747 |           747 |           747 |           747 |
| Emily  | Fish   |       5 |   2020 |    17 |           301 |           301 |           301 |           301 |
| Wally  | Ham    |       1 |   2018 |    16 |           903 |           903 |           903 |           903 |
| Claire | Butter |       9 |   2020 |     8 |           980 |           980 |           980 |           980 |
| Sam    | Dates  |       5 |   2017 |    16 |           288 |           288 |           288 |           288 |
| Chae   | Apple  |       9 |   2018 |    10 |           253 |           253 |           253 |           253 |
| Claire | Jelly  |      12 |   2018 |     8 |           722 |           722 |           722 |           722 |
| Helen  | Ham    |       4 |   2018 |     3 |          1390 |           887 |          1390 |           887 |
| Sam    | Jelly  |       3 |   2019 |    28 |           694 |           694 |           694 |           694 |
| Dan    | Ham    |       3 |   2018 |    27 |           722 |           722 |           722 |           722 |
| Dan    | Eggs   |       4 |   2019 |    11 |           656 |           656 |           656 |           656 |
| Mia    | Apple  |       5 |   2016 |    19 |           236 |           236 |           236 |           236 |
| Sam    | Ice    |       6 |   2020 |    15 |           266 |           266 |           266 |           266 |
| Helen  | Dates  |       5 |   2020 |    18 |           647 |           647 |           647 |           647 |
| Emily  | Apple  |      10 |   2020 |    24 |           231 |           231 |           231 |           231 |
| Wally  | Eggs   |       2 |   2018 |     7 |           518 |           518 |           518 |           518 |
| Boo    | Apple  |       2 |   2020 |     2 |           776 |           776 |           776 |           776 |
| Claire | Cherry |       1 |   2019 |     5 |           503 |           503 |           503 |           503 |
| Dan    | Cherry |       3 |   2017 |    17 |           444 |           444 |           444 |           444 |
| Wally  | Fish   |       7 |   2020 |    20 |           318 |           318 |           318 |           318 |
| Helen  | Butter |       9 |   2020 |    17 |           889 |           889 |           889 |           889 |
| Wally  | Butter |      11 |   2016 |    15 |           278 |           278 |           278 |           278 |
| Wally  | Eggs   |       1 |   2017 |     8 |           455 |           455 |           455 |           455 |
| Sam    | Butter |       9 |   2017 |    16 |           251 |           251 |           251 |           251 |
| Wally  | Ice    |      10 |   2018 |    29 |           586 |           586 |           586 |           586 |
| Boo    | Grapes |       1 |   2019 |     1 |           608 |           608 |           608 |           608 |
| Sam    | Apple  |       8 |   2020 |    27 |           385 |           385 |           385 |           385 |
| Sam    | Apple  |       3 |   2016 |    24 |           835 |           835 |           835 |           835 |
| Dan    | Dates  |      10 |   2017 |     7 |           795 |           795 |           795 |           795 |
| Mia    | Eggs   |       8 |   2020 |    20 |           244 |           244 |           244 |           244 |
| Wally  | Fish   |       1 |   2018 |    18 |           550 |           550 |           550 |           550 |
| Boo    | Ice    |      11 |   2020 |    28 |           771 |           771 |           771 |           771 |
| Helen  | Eggs   |       7 |   2017 |     3 |            95 |            95 |            95 |            95 |
| Sam    | Ham    |       5 |   2018 |    10 |           914 |           914 |           914 |           914 |
| Mia    | Grapes |       6 |   2018 |     7 |           597 |           597 |           597 |           597 |
| Helen  | Eggs   |       4 |   2020 |    16 |           500 |           500 |           500 |           500 |
| Boo    | Dates  |      10 |   2017 |    29 |           285 |           285 |           285 |           285 |
| Chae   | Ice    |       7 |   2020 |     4 |           757 |           757 |           757 |           757 |
| Dan    | Grapes |       8 |   2019 |    29 |           787 |           787 |           787 |           787 |
| Mia    | Apple  |       1 |   2020 |     5 |            62 |            62 |            62 |            62 |
| Emily  | Eggs   |       9 |   2020 |    22 |            15 |            15 |            15 |            15 |
| Sam    | Ham    |       1 |   2018 |    14 |           104 |           104 |           104 |           104 |
| Boo    | Apple  |       9 |   2017 |    17 |           333 |           333 |           333 |           333 |
| Emily  | Fish   |      12 |   2018 |    28 |           293 |           293 |           293 |           293 |
| Claire | Butter |       8 |   2020 |    22 |           696 |           696 |           696 |           696 |
| Claire | Ham    |       3 |   2020 |    24 |           280 |           280 |           280 |           280 |
| Helen  | Cherry |       8 |   2017 |     6 |           579 |           579 |           579 |           579 |
| Dan    | Butter |       2 |   2020 |    14 |           832 |           832 |           832 |           832 |
| Wally  | Ice    |       6 |   2017 |    12 |           254 |           254 |           254 |           254 |
| Mia    | Cherry |       6 |   2017 |    28 |           289 |           289 |           289 |           289 |
| Sam    | Ice    |      12 |   2019 |    17 |           712 |           712 |           712 |           712 |
| Boo    | Grapes |       6 |   2020 |    23 |           844 |           844 |           844 |           844 |
| Dan    | Cherry |       7 |   2020 |    11 |           423 |           423 |           423 |           423 |
| Mia    | Ham    |       6 |   2017 |    22 |          1796 |           902 |          1796 |           902 |
| Helen  | Jelly  |       1 |   2019 |     9 |           556 |           556 |           556 |           556 |
| Emily  | Eggs   |       6 |   2020 |    17 |           610 |           610 |           610 |           610 |
| Sam    | Grapes |       2 |   2018 |    17 |           208 |           208 |           208 |           208 |
| Mia    | Cherry |       9 |   2016 |    27 |           251 |           251 |           251 |           251 |
| Dan    | Apple  |       5 |   2019 |    23 |           982 |           982 |           982 |           982 |
| Wally  | Eggs   |       3 |   2019 |    18 |           411 |           411 |           411 |           411 |
| Mia    | Ham    |       1 |   2018 |    20 |           120 |           120 |           120 |           120 |
| Chae   | Fish   |       3 |   2016 |    19 |           443 |           443 |           443 |           443 |
| Wally  | Dates  |       6 |   2017 |     7 |           314 |           314 |           314 |           314 |
| Helen  | Apple  |       3 |   2017 |    25 |           857 |           857 |           857 |           857 |
| Boo    | Cherry |       1 |   2020 |    15 |           435 |           435 |           435 |           435 |
| Emily  | Ham    |      10 |   2016 |    18 |           898 |           898 |           898 |           898 |
| Sam    | Jelly  |       4 |   2020 |    30 |           754 |           754 |           754 |           754 |
| Emily  | Jelly  |      12 |   2020 |    16 |           810 |           685 |           810 |           685 |
| Chae   | Dates  |       4 |   2016 |    29 |           264 |           264 |           264 |           264 |
| Boo    | Grapes |       7 |   2019 |     8 |           417 |           417 |           417 |           417 |
| Mia    | Apple  |       9 |   2018 |    18 |           565 |           565 |           565 |           565 |
| Wally  | Apple  |      11 |   2020 |     9 |           839 |           839 |           839 |           839 |
| Boo    | Ice    |       2 |   2018 |    13 |           701 |           701 |           701 |           701 |
| Sam    | Apple  |       5 |   2019 |    21 |            96 |            96 |            96 |            96 |
| Wally  | Fish   |      10 |   2018 |    17 |           946 |           946 |           946 |           946 |
| Chae   | Butter |       1 |   2018 |     6 |           363 |           363 |           363 |           363 |
| Chae   | Ice    |      11 |   2016 |     5 |           313 |           313 |           313 |           313 |
| Sam    | Ice    |       1 |   2018 |    10 |           811 |           811 |           811 |           811 |
| Claire | Butter |       3 |   2016 |     8 |           938 |           938 |           938 |           938 |
| Dan    | Dates  |       9 |   2018 |     3 |           618 |           618 |           618 |           618 |
| Mia    | Jelly  |       7 |   2018 |     7 |           180 |           180 |           180 |           180 |
| Dan    | Grapes |      11 |   2018 |    12 |           776 |           776 |           776 |           776 |
| Boo    | Jelly  |       8 |   2016 |     9 |           964 |           964 |           964 |           964 |
| Emily  | Grapes |       7 |   2019 |    29 |           380 |           380 |           380 |           380 |
| Mia    | Grapes |       9 |   2019 |    26 |           288 |           288 |           288 |           288 |
| Sam    | Butter |       2 |   2020 |     9 |            23 |            23 |            23 |            23 |
| Chae   | Butter |       6 |   2017 |    13 |           706 |           706 |           706 |           706 |
| Boo    | Eggs   |       4 |   2018 |    30 |           322 |           322 |           322 |           322 |
| Helen  | Fish   |       7 |   2019 |     8 |           448 |           448 |           448 |           448 |
| Dan    | Ham    |       9 |   2019 |    25 |           789 |           789 |           789 |           789 |
| Claire | Butter |       9 |   2018 |    25 |           946 |           946 |           946 |           946 |
| Mia    | Butter |       4 |   2017 |    16 |           265 |           265 |           265 |           265 |
| Boo    | Apple  |      12 |   2017 |    24 |           413 |           413 |           413 |           413 |
| Dan    | Dates  |       5 |   2020 |    16 |           316 |           316 |           316 |           316 |
| Emily  | Dates  |       6 |   2016 |    12 |           371 |           371 |           371 |           371 |
| Emily  | Apple  |      10 |   2017 |    16 |           706 |           706 |           706 |           706 |
| Claire | Cherry |       4 |   2019 |    13 |           954 |           954 |           954 |           954 |
| Emily  | Eggs   |       9 |   2016 |    22 |           325 |           325 |           325 |           325 |
| Boo    | Butter |       2 |   2016 |     2 |           461 |           461 |           461 |           461 |
| Mia    | Ham    |       5 |   2020 |    15 |           886 |           886 |           886 |           886 |
| Claire | Butter |       5 |   2016 |    27 |           783 |           783 |           783 |           783 |
| Dan    | Apple  |       1 |   2016 |    29 |           124 |           124 |           124 |           124 |
| Dan    | Dates  |       5 |   2020 |     6 |           887 |           887 |           887 |           887 |
| Sam    | Eggs   |       3 |   2019 |    24 |            63 |            63 |            63 |            63 |
| Boo    | Apple  |       2 |   2018 |     1 |           224 |           224 |           224 |           224 |
| Claire | Fish   |      10 |   2019 |     5 |           152 |           152 |           152 |           152 |
| Chae   | Grapes |      11 |   2016 |    30 |           683 |           683 |           683 |           683 |
| Sam    | Fish   |       5 |   2016 |    17 |           890 |           890 |           890 |           890 |
| Helen  | Butter |       5 |   2018 |    11 |           869 |           869 |           869 |           869 |
| Wally  | Jelly  |       7 |   2016 |    16 |           928 |           928 |           928 |           928 |
| Mia    | Jelly  |       3 |   2020 |     9 |           615 |           615 |           615 |           615 |
| Helen  | Cherry |       3 |   2020 |    19 |            19 |            19 |            19 |            19 |
| Emily  | Fish   |       3 |   2019 |    26 |           739 |           739 |           739 |           739 |
| Sam    | Butter |       2 |   2018 |    28 |           759 |           759 |           759 |           759 |
| Sam    | Fish   |       6 |   2019 |    29 |           897 |           897 |           897 |           897 |
| Boo    | Cherry |       5 |   2017 |    24 |           576 |           576 |           576 |           576 |
| Emily  | Fish   |      10 |   2017 |     2 |           159 |           159 |           159 |           159 |
| Mia    | Grapes |      11 |   2020 |     1 |           524 |           390 |           524 |           390 |
| Dan    | Butter |      11 |   2019 |    21 |             3 |             3 |             3 |             3 |
| Boo    | Ham    |       5 |   2020 |    12 |           113 |           113 |           113 |           113 |
| Dan    | Eggs   |      11 |   2019 |     7 |           843 |           843 |           843 |           843 |
| Helen  | Apple  |       3 |   2016 |    29 |           840 |           840 |           840 |           840 |
| Dan    | Cherry |       3 |   2019 |    23 |           713 |           713 |           713 |           713 |
| Mia    | Dates  |       6 |   2017 |    11 |           121 |           121 |           121 |           121 |
| Boo    | Apple  |      10 |   2018 |    20 |           378 |           378 |           378 |           378 |
| Emily  | Eggs   |      12 |   2018 |    21 |           677 |           677 |           677 |           677 |
| Boo    | Apple  |       9 |   2019 |    15 |            35 |            35 |            35 |            35 |
| Claire | Fish   |       9 |   2016 |    18 |           953 |           953 |           953 |           953 |
| Wally  | Butter |       2 |   2018 |     8 |           302 |           302 |           302 |           302 |
| Mia    | Butter |       7 |   2016 |     3 |           742 |           742 |           742 |           742 |
| Dan    | Butter |       6 |   2018 |     1 |           540 |           540 |           540 |           540 |
| Claire | Dates  |       9 |   2020 |    15 |            63 |            63 |            63 |            63 |
| Boo    | Grapes |      12 |   2016 |     3 |           655 |           655 |           655 |           655 |
